Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle income,MIC,..,3.5112099647522,3.79310011863709,4.05822992324829,4.04840445518494,4.0238801240921,4.09155511856079,4.08553981781006,3.92848992347717,3.80864000320435,4.12287330627441,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,North America,NAC,5.9919900894165,5.42331981658936,5.48422193527222,5.41997075080871,5.49048900604248,4.84639501571655,4.80728507041932,5.03459501266479,4.90065503120423,4.88082003593444,5.6100001335144,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,OECD members,OED,..,4.65766000747681,4.95658016204834,5.22923994064331,5.12400007247925,4.94593000411987,4.87302494049072,4.95577001571655,4.90065503120423,4.98870992660522,5.25999999046326,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Other small states,OSS,3.17034006118774,5.33945989608765,4.11258006095886,4.45886015892029,4.65564012527466,5.14418983459473,5.15763998031616,4.99222493171692,4.83458995819092,4.71929979324341,4.60817003250122,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Post-demographic dividend,PST,..,4.86840009689331,4.94940996170044,5.0094199180603,4.94188404083252,4.92053437232971,4.82782506942749,4.91170001029968,4.90065503120423,4.9448847770691,5.1949999332428,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pre-demographic dividend,PRE,..,2.51418507099152,3.13436496257782,3.3275101184845,3.1727499961853,3.28257989883423,3.00933003425598,3.53558993339539,3.21986496448517,3.4841001033783,3.16616010665894,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Small states,SST,3.65412998199463,4.98346996307373,4.63377499580383,4.96424531936646,5.12444519996643,5.14418983459473,5.15763998031616,4.99222493171692,4.83458995819092,4.71929979324341,4.60817003250122,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia,SAS,2.41092991828918,2.55011510848999,2.72813999652863,2.84806311130524,2.46592998504639,2.95290994644165,3.46315610408783,3.13641500473023,2.8985983133316,2.86066496372223,2.86085939407349,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia (IDA & IBRD),TSA,2.41092991828918,2.55011510848999,2.72813999652863,2.84806311130524,2.46592998504639,2.95290994644165,3.46315610408783,3.13641500473023,2.8985983133316,2.86066496372223,2.86085939407349,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa,SSF,..,2.64609491825104,3.45270001888275,3.61578989028931,3.51653504371643,3.67008996009827,3.56160998344421,3.7751499414444,3.69643998146057,3.58611500263214,3.44302010536194,..
